x,y,x_obs,y_obs
554,283,516.4964737203713,303.09074727954584
549,280,559.269300691356,257.53749915271493
545,277,551.545806027483,306.0379415671079
540,274,564.0737971561969,252.54014292100945
535,270,577.1036045778516,286.55464816064494
530,266,558.9260561659662,304.04035988251536
526,262,556.8097773286736,267.6291327845571
521,258,508.50087687131264,236.29730842973473
518,254,492.2535035272875,253.78570607726456
514,250,528.8833256330097,217.03407574309728
510,247,503.71715972590874,208.79600579050188
506,244,515.7153381204432,251.72606108761164
503,240,456.8451289468769,268.9073296045169
499,235,471.2354612628317,251.2979478516216
495,229,505.38604830237165,257.4952600054838
491,224,482.7165239925325,234.4435583081966
488,219,487.28278765417815,216.09855735541626
485,213,499.9391313061611,239.27679326355468
484,208,481.5004245657031,184.95857802246243
483,202,477.717740813522,214.84814773747232
483,196,470.7348715787605,223.52029363218077
483,191,435.1609006151713,201.31552087371253
483,187,486.83237413855477,168.1118779333756
483,181,462.48198053400546,186.0094569015563
483,177,479.8579863011932,140.82399422405757
483,174,470.35398061758434,157.67586525236203
483,170,502.54758252713924,149.59991790769885
483,166,508.5940133371603,160.6813289233884
483,160,468.3023619611205,151.2763570542409
483,155,465.4627696267602,140.84878053565245
482,150,459.9426530066352,143.05513822258607
481,146,460.4256845964078,111.25860354162876
479,142,485.73839971296184,151.26025953477014
477,137,477.2780648906978,139.08079488044635
476,133,475.5862046758298,165.80885128917834
474,130,463.1881917235225,160.4666789059238
472,127,463.5326025894601,158.63063208652738
469,123,479.8126368265181,131.44909495623466
466,120,449.76844081386145,92.92034418774188
462,117,443.1588968264337,134.2715798791889
459,114,462.221598639105,129.85961093650076
458,113,458.0509951508288,158.9153578216791
